timestamp,open,high,low,close,volume,vwap,transactions,otc
1712361600000,67856.51,69693.1,67379.0,68919.89,6124.067240281255,68283.2003,247970,
1712448000000,68908.6,70312.0,68820.0,69350.34,7901.9930474127605,69486.092,325177,
1712534400000,69350.36,72777.0,69036.0,71622.53,23223.579051814715,71576.5348,567352,
1712620800000,71650.1,71761.37,68200.0,69117.01,21914.589601101146,69778.9649,539778,
1712707200000,69115.79,71341.0,67463.07,70634.04,21928.775432553433,69027.2689,523393,
1712793600000,70733.0,71444.0,69530.0,70046.4,14372.856794187008,70394.0358,416029,
1712880000000,70103.0,71291.0,65103.0,67148.61,32094.801286557326,68209.7878,786351,
1712966400000,67199.8,69100.0,60495.0,64024.77,37545.51982960271,64796.5735,1041828,
1713052800000,64018.6,65909.0,62150.0,65777.05,26538.987589805183,64133.239,646041,
1713139200000,65700.0,66928.82,62315.08,63452.18,27322.953087577836,64848.2963,665228,
1713225600000,63441.8,64415.0,61551.0,63814.94,22582.62085850296,62860.4936,598486,
1713312000000,63832.6,64534.0,59648.33,61279.36,27908.50173031259,61644.1743,762399,
1713398400000,61284.4,64210.0,60816.07,63513.85,19600.090229615384,62791.1291,493620,
1713484800000,63499.5,65501.0,59573.32,63848.37,29526.060603527425,63470.0901,754969,
1713571200000,63846.0,65465.0,63121.15,64968.87,8034.73000691246,64393.4803,338677,
1713657600000,64993.8,65756.0,64250.0,64952.92,6317.031909871909,64954.2161,256373,
1713744000000,64953.0,68158.0,64520.0,66859.17,14674.208393758543,66153.6475,384705,
1713830400000,66831.4,67253.0,65807.0,66414.16,11216.318416991891,66532.5241,356444,
1713916800000,66419.8,67153.0,63542.56,64255.78,18390.331962421373,65202.5357,461978,
1714003200000,64255.77,65381.0,62743.5,64484.44,16609.340525686952,64093.9909,393349,
1714089600000,64489.1,64839.0,63287.76,63742.39,12487.760915875097,64044.727,329087,
1714176000000,63750.8,64029.0,62389.0,63425.0,7688.4621976635235,63037.6848,261235,
1714262400000,63425.1,64470.0,62743.81,63108.94,5551.1416021712785,63609.2407,221386,
1714348800000,63114.1,64304.0,61741.01,63844.85,13377.822500071163,62745.9558,352229,
1714435200000,63822.1,64800.0,59040.3,60622.1,26998.48751629146,61053.0543,592807,
1714521600000,60610.0,60991.0,56378.0,58265.59,36306.16835997113,57898.2558,818856,
1714608000000,58267.81,59767.0,56903.79,59071.89,18350.770952150266,58551.988,504135,
1714694400000,59113.2,63444.0,58821.05,62913.03,22588.06498860277,61132.9655,524815,
1714780800000,62925.8,64644.0,62550.4,63902.88,9341.29545499236,63518.2417,278892,
1714867200000,63898.0,64801.0,62908.34,64023.45,6410.308083120016,63845.4607,273052,
1714953600000,64067.5,65628.0,62704.48,63162.24,15014.69468358998,63824.4851,405905,
1715040000000,63161.7,64480.0,62252.64,62315.76,11742.36228945821,63429.3836,327075,
1715126400000,62325.0,63112.0,60851.04,61169.53,9857.802772441306,62125.3084,349677,
1715212800000,61172.1,63529.0,60601.6,63073.57,10679.227749370395,61904.4023,309101,
1715299200000,63052.0,63612.0,60150.0,60787.47,15163.250328231863,61550.7498,386107,
1715385600000,60790.8,61588.0,60450.13,60805.0,3789.3654638304683,60940.4341,193373,
1715472000000,60805.0,61962.0,60576.05,61453.02,3792.766457371365,61245.6893,204346,
1715558400000,61444.6,63540.0,60738.51,62932.37,11541.77888872016,62522.5301,384930,
1715644800000,62910.0,63175.0,61000.0,61539.84,16135.62462599838,62078.6866,434473,
1715731200000,61539.7,66500.0,61299.57,66244.69,27716.98672330425,64615.114,664184,
1715817600000,66233.1,66799.0,64557.0,65252.18,15424.821354775437,65754.746,462993,
1715904000000,65228.4,67618.0,65113.46,67046.33,14778.8951649091,66576.1514,398826,
1715990400000,67043.6,67473.0,66598.0,66923.87,4637.99978324156,66974.7154,235241,
1716076800000,66920.1,67984.0,65852.02,66262.4,4912.141236761148,66864.232,240980,
1716163200000,66262.5,71560.9,66057.03,71432.17,25837.14890898711,68756.982,615890,
1716249600000,71432.16,71980.0,69146.01,70145.1,19826.247984224698,70560.5782,604460,
1716336000000,70145.1,70668.0,68725.2,69109.93,14277.429019659008,69748.2165,447442,
1716422400000,69144.1,70500.0,66250.0,67940.45,19011.497148756054,68230.3722,511572,
1716508800000,67947.0,69308.0,66587.91,68547.8,12804.68779944892,68161.1374,389308,
1716595200000,68541.0,69635.0,68487.44,69289.67,3607.6377056903534,69031.9205,193911,
1716681600000,69278.7,69588.0,67971.1,68473.72,2949.5081756000036,68887.4445,187333,
1716768000000,68474.4,70679.0,68210.12,69368.72,7834.055005983865,69475.1187,279376,
1716854400000,69377.8,69597.0,67194.59,68321.98,14590.479766482238,68146.7215,385943,
1716940800000,68325.0,68971.0,67081.66,67569.45,11508.583914956238,67787.6599,402522,
1717027200000,67575.4,69550.0,67092.91,68338.58,14621.039771766613,68433.2896,419635,
1717113600000,68365.0,69028.0,66584.47,67472.41,12714.239392585478,67687.9893,401434,
